CustomerID,Recency,Frequency,Monetary,Is_Churned
100208,236,5,9.0,0
100209,27,6,12.0,0
100210,33,8,14.0,0
100211,194,3,7.0,0
100212,54,6,16.0,0
100213,792,2,3.0,1
100214,34,5,10.0,0
100215,449,4,10.0,1
100216,212,5,8.0,0
100217,244,5,9.0,0
100218,37,7,20.0,0
100219,286,8,16.0,0
100220,304,8,13.0,1
100221,22,5,8.0,0
100222,407,3,6.0,1
100223,86,2,6.0,0
100224,24,10,14.0,0
100225,73,4,11.0,0
100226,313,7,9.0,1
100227,73,11,24.0,0
100228,17,8,11.0,0
100229,2,5,9.0,0
100230,219,6,10.0,0
100231,377,2,4.0,1
100232,85,6,13.0,0
100233,256,5,10.0,0
100234,226,4,4.0,0
100235,157,6,8.0,0
100236,53,3,9.0,0
100237,151,5,11.0,0
100238,179,4,5.0,0
100239,60,5,11.0,0
100240,136,3,7.0,0
100241,11,5,6.0,0
100242,133,3,4.0,0
100243,10,6,9.0,0
100244,18,7,13.0,0
100245,309,3,3.0,1
100246,121,4,4.0,0
100247,24,5,12.0,0
100248,383,1,2.0,1
100249,762,1,2.0,1
100251,183,10,12.0,0
100252,331,3,7.0,1
100253,8,5,8.0,0
100254,223,5,13.0,0
100255,355,6,14.0,1
100256,142,6,13.0,0
100257,342,4,7.0,1
100258,200,5,11.0,0
100259,80,8,19.0,0
100260,104,7,7.0,0
100261,206,4,6.0,0
100262,90,7,16.0,0
100263,440,2,2.0,1
100264,101,6,14.0,0
100266,419,3,5.0,1
100267,151,6,11.0,0
100268,114,5,9.0,0
100269,435,2,5.0,1
100270,498,4,6.0,1
100271,194,4,9.0,0
100272,200,4,6.0,0
100273,93,6,7.0,0
100274,29,9,13.0,0
100275,89,5,7.0,0
100276,123,4,4.0,0
100277,200,6,11.0,0
100278,132,7,13.0,0
100279,26,10,22.0,0
100280,164,8,19.0,0
100281,276,4,8.0,0
100282,15,4,13.0,0
100283,145,7,18.0,0
100284,47,7,18.0,0
100285,38,4,7.0,0
100286,254,7,16.0,0
100287,219,6,10.0,0
100288,345,6,14.0,1
100289,178,9,16.0,0
100290,159,3,9.0,0
100291,179,5,10.0,0
100292,25,11,27.0,0
100293,76,2,3.0,0
100294,87,3,8.0,0
100295,163,2,3.0,0
100296,11,4,6.0,0
100297,760,3,5.0,1
100298,248,5,12.0,0
100299,345,4,5.0,1
100300,39,8,20.0,0
100301,202,6,13.0,0
100302,14,7,14.0,0
100303,312,8,19.0,1
100304,266,3,8.0,0
100305,95,3,4.0,0
100306,119,8,18.0,0
100307,34,7,11.0,0
100308,285,4,6.0,0
100309,120,3,3.0,0
100310,192,4,11.0,0
100311,72,5,7.0,0
100312,276,2,5.0,0
100313,166,4,8.0,0
100314,151,7,12.0,0
100315,203,1,4.0,0
100316,74,11,17.0,0
100317,102,3,6.0,0
100318,305,8,17.0,1
100319,480,3,4.0,1
100320,30,5,8.0,0
100321,843,2,4.0,1
100322,225,3,7.0,0
100323,339,6,16.0,1
100324,60,7,20.0,0
100325,103,5,8.0,0
100326,638,4,9.0,1
100327,274,9,18.0,0
100328,239,5,10.0,0
100329,404,4,7.0,1
100330,55,6,9.0,0
100331,545,3,5.0,1
100332,191,6,16.0,0
100333,334,5,14.0,1
100334,347,4,8.0,1
100335,218,3,5.0,0
100336,266,6,15.0,0
100337,54,5,12.0,0
100338,320,4,10.0,1
100339,277,4,8.0,0
100340,160,6,10.0,0
100341,252,4,6.0,0
100342,65,7,10.0,0
100343,289,9,11.0,1
100344,472,5,5.0,1
100345,118,6,9.0,0
100346,251,10,16.0,0
100347,252,7,17.0,0
100348,668,7,15.0,1
100349,134,6,12.0,0
100350,160,7,12.0,0
100351,134,6,11.0,0
100352,754,1,2.0,1
100353,43,7,20.0,0
100354,114,6,15.0,0
100355,56,6,11.0,0
100356,274,7,8.0,0
100357,175,6,8.0,0
100358,115,6,11.0,0
100359,21,3,7.0,0
100360,13,4,9.0,0
100361,82,3,5.0,0
100362,76,5,5.0,0
100363,135,4,6.0,0
100364,66,5,10.0,0
100365,138,6,10.0,0
100366,617,2,6.0,1
100367,332,6,6.0,1
100368,48,3,5.0,0
100369,482,5,8.0,1
100370,252,3,5.0,0
100371,172,7,12.0,0
100372,368,5,16.0,1
100373,266,6,10.0,0
100374,47,8,16.0,0
100375,150,7,14.0,0
100376,547,3,5.0,1
100377,147,6,13.0,0
100378,110,6,9.0,0
100379,253,5,10.0,0
100380,231,7,9.0,0
100381,215,5,14.0,0
100382,319,4,11.0,1
100383,198,3,9.0,0
100384,138,4,8.0,0
100385,386,3,6.0,1
100386,96,4,8.0,0
100387,265,7,18.0,0
100388,289,4,9.0,1
100389,394,6,10.0,1
100390,132,9,21.0,0
100391,44,4,7.0,0
100392,484,3,6.0,1
100393,188,4,7.0,0
100394,191,4,8.0,0
100395,339,4,8.0,1
100396,116,6,9.0,0
100397,493,3,4.0,1
100398,208,3,10.0,0
100399,272,7,14.0,0
100400,329,7,14.0,1
100401,337,2,2.0,1
100402,176,5,10.0,0
100403,85,5,6.0,0
100404,157,7,11.0,0
100405,36,7,11.0,0
100406,291,8,17.0,1
100407,256,8,8.0,0
100408,103,4,6.0,0
100409,94,6,8.0,0
100410,233,4,6.0,0
100411,289,2,6.0,1
100412,177,3,3.0,0
100413,64,4,8.0,0
100414,167,6,9.0,0
100415,126,8,14.0,0
100416,62,8,16.0,0
100417,236,11,17.0,0
100418,267,7,14.0,0
100419,214,4,13.0,0
100420,210,3,3.0,0
100421,532,3,8.0,1
100422,352,3,4.0,1
100423,4,6,7.0,0
100424,112,8,17.0,0
100425,25,5,8.0,0
100426,402,3,6.0,1
100427,67,8,16.0,0
100428,535,7,10.0,1
100429,31,3,8.0,0
100430,17,7,15.0,0
100431,97,5,9.0,0
100432,636,1,2.0,1
100433,622,1,2.0,1
100434,7,6,10.0,0
100435,333,4,4.0,1
100436,28,8,13.0,0
100437,210,3,6.0,0
100438,335,4,9.0,1
100439,441,5,13.0,1
100440,103,3,7.0,0
100441,18,9,16.0,0
100442,591,2,7.0,1
100443,194,5,9.0,0
100444,195,5,11.0,0
100445,366,8,17.0,1
100446,606,2,2.0,1
100447,249,3,4.0,0
100448,37,4,5.0,0
100449,718,2,5.0,1
100450,206,3,6.0,0
100451,190,4,9.0,0
100452,259,4,4.0,0
100453,110,6,11.0,0
100454,122,5,7.0,0
100455,385,7,12.0,1
100456,79,6,7.0,0
100457,228,4,4.0,0
100458,96,7,17.0,0
100459,308,6,12.0,1
100460,55,6,15.0,0
100461,172,4,9.0,0
100462,49,5,11.0,0
100463,295,6,11.0,1
100464,160,2,5.0,0
100465,459,6,13.0,1
100466,493,4,9.0,1
100467,260,3,8.0,0
100468,773,1,1.0,1
100469,391,3,4.0,1
100470,214,5,7.0,0
100471,289,4,7.0,1
100472,264,8,11.0,0
100473,318,5,7.0,1
100474,232,3,5.0,0
100475,291,7,10.0,1
100476,33,8,16.0,0
100477,570,2,4.0,1
100478,176,3,7.0,0
100479,333,6,14.0,1
100480,187,6,12.0,0
100481,171,3,4.0,0
100482,75,6,14.0,0
100483,812,1,1.0,1
100484,93,6,13.0,0
100485,100,2,6.0,0
100486,31,6,9.0,0
100487,386,4,6.0,1
100488,157,10,23.0,0
100489,222,5,6.0,0
100490,396,3,5.0,1
100491,226,8,10.0,0
100492,453,4,5.0,1
100493,333,1,2.0,1
100494,247,4,9.0,0
100495,237,5,8.0,0
100496,23,8,12.0,0
100497,333,3,5.0,1
100498,470,4,13.0,1
100500,153,3,4.0,0
100501,60,6,17.0,0
100502,41,7,18.0,0
100503,184,4,8.0,0
100504,187,2,3.0,0
100505,99,9,24.0,0
100506,245,4,4.0,0
100507,690,2,4.0,1
100508,94,8,17.0,0
100509,52,8,15.0,0
100510,222,5,7.0,0
100511,343,6,8.0,1
100512,211,2,3.0,0
100513,172,7,14.0,0
100514,41,4,6.0,0
100515,44,4,9.0,0
100516,99,10,18.0,0
100517,41,4,9.0,0
100518,410,4,5.0,1
100519,26,5,9.0,0
100520,445,3,4.0,1
100521,55,7,10.0,0
100522,158,4,8.0,0
100523,12,6,11.0,0
100524,142,4,8.0,0
100525,32,10,20.0,0
100526,90,3,6.0,0
100527,661,7,10.0,1
100528,291,7,15.0,1
100529,17,8,10.0,0
100530,38,7,11.0,0
100531,83,4,9.0,0
100532,67,1,2.0,0
100533,256,4,12.0,0
100534,13,6,12.0,0
100535,402,1,1.0,1
100536,1,9,19.0,0
100537,277,9,14.0,0
100538,421,5,9.0,1
100539,47,9,25.0,0
100540,191,9,17.0,0
100541,90,5,8.0,0
100542,181,7,17.0,0
100543,150,5,12.0,0
100544,37,7,14.0,0
100545,213,4,7.0,0
100546,17,8,13.0,0
100547,227,5,11.0,0
100548,321,3,8.0,1
100549,428,2,6.0,1
100550,116,5,10.0,0
100551,241,10,17.0,0
100552,578,3,4.0,1
100553,21,2,2.0,0
100554,508,5,9.0,1
100555,158,8,18.0,0
100556,11,5,6.0,0
100557,9,4,9.0,0
100558,415,3,8.0,1
100559,111,5,11.0,0
100560,165,3,6.0,0
100561,17,6,6.0,0
100562,8,2,2.0,0
100563,21,2,3.0,0
100564,57,5,10.0,0
100565,226,3,7.0,0
100566,137,4,5.0,0
100567,40,3,10.0,0
100568,123,8,13.0,0
100569,254,4,5.0,0
100570,164,5,13.0,0
100571,333,5,10.0,1
100572,156,6,18.0,0
100573,145,7,13.0,0
100574,741,1,2.0,1
100575,2,9,17.0,0
100576,560,2,5.0,1
100578,225,6,10.0,0
100579,125,3,6.0,0
100580,550,2,2.0,1
100581,3,9,20.0,0
100582,87,6,11.0,0
100583,359,1,1.0,1
100585,246,5,12.0,0
100586,151,8,15.0,0
100587,142,7,14.0,0
100588,151,7,13.0,0
100589,644,5,10.0,1
100590,126,4,6.0,0
100591,377,3,3.0,1
100592,68,7,15.0,0
100593,81,3,7.0,0
100594,79,7,14.0,0
100595,794,3,3.0,1
100596,68,6,20.0,0
100597,345,2,4.0,1
100598,44,2,3.0,0
100599,17,8,13.0,0
100600,318,1,1.0,1
100601,170,6,9.0,0
100602,28,9,17.0,0
100603,99,2,4.0,0
100604,207,6,9.0,0
100605,167,6,16.0,0
100606,151,5,10.0,0
100607,61,3,4.0,0
100608,230,5,9.0,0
100609,100,6,13.0,0
100610,43,5,8.0,0
100611,131,8,15.0,0
100612,9,6,12.0,0
100613,116,4,7.0,0
100614,389,3,5.0,1
100615,215,5,8.0,0
100616,180,6,9.0,0
100617,140,6,10.0,0
100618,402,5,8.0,1
100619,220,5,9.0,0
100620,57,3,7.0,0
100621,482,4,8.0,1
100622,268,4,9.0,0
100623,226,3,8.0,0
100624,412,4,5.0,1
100625,24,3,6.0,0
100626,293,2,3.0,1
100627,265,5,10.0,0
100628,494,2,3.0,1
100629,208,6,9.0,0
100630,143,2,4.0,0
100631,113,8,21.0,0
100632,166,7,10.0,0
100633,156,7,13.0,0
100634,105,6,11.0,0
100635,75,5,9.0,0
100636,88,4,5.0,0
100637,272,3,5.0,0
100638,97,10,20.0,0
100639,253,2,8.0,0
100640,17,10,18.0,0
100641,344,3,3.0,1
100642,96,7,20.0,0
100643,172,6,12.0,0
100644,56,7,21.0,0
100645,141,6,12.0,0
100646,34,10,22.0,0
100647,11,3,8.0,0
100648,691,3,4.0,1
100649,846,1,3.0,1
100650,12,8,19.0,0
100651,303,6,10.0,1
100652,248,7,15.0,0
100653,220,5,13.0,0
100654,239,3,6.0,0
100655,16,6,10.0,0
100656,151,6,14.0,0
100657,408,5,11.0,1
100658,350,3,6.0,1
100659,195,7,13.0,0
100660,86,3,5.0,0
100661,355,7,11.0,1
100662,82,6,8.0,0
100663,151,4,5.0,0
100664,387,5,12.0,1
100665,155,5,9.0,0
100666,34,3,11.0,0
100667,69,7,9.0,0
100669,3,7,17.0,0
100670,156,5,13.0,0
100671,83,11,22.0,0
100672,15,3,10.0,0
100673,417,3,7.0,1
100674,12,8,12.0,0
100675,393,2,2.0,1
100676,897,1,2.0,1
100677,37,10,25.0,0
100678,178,7,8.0,0
100679,206,5,10.0,0
100680,249,3,3.0,0
100681,95,5,9.0,0
100682,115,9,20.0,0
100683,59,5,10.0,0
100684,136,3,6.0,0
100685,26,8,15.0,0
100686,283,4,6.0,0
100687,382,4,12.0,1
100688,35,5,8.0,0
100689,535,2,5.0,1
100690,39,5,5.0,0
100691,72,10,15.0,0
100692,157,5,9.0,0
100693,207,5,8.0,0
100694,439,2,3.0,1
100695,51,5,9.0,0
100696,67,4,5.0,0
100697,4,7,10.0,0
100698,21,9,19.0,0
100699,152,3,4.0,0
100700,299,1,1.0,1
100701,24,4,4.0,0
100702,120,5,7.0,0
100703,275,4,8.0,0
100704,148,3,5.0,0
100705,397,1,1.0,1
100706,235,3,5.0,0
100707,225,5,7.0,0
100708,393,3,5.0,1
100709,351,5,9.0,1
100710,112,5,9.0,0
100711,250,6,10.0,0
100712,194,6,10.0,0
100713,47,8,17.0,0
100714,59,8,14.0,0
100715,242,3,6.0,0
100716,420,2,3.0,1
100717,90,9,14.0,0
100718,328,6,13.0,1
100719,100,6,9.0,0
100720,58,4,10.0,0
100721,117,7,10.0,0
100722,810,2,3.0,1
100723,260,2,4.0,0
100724,244,6,9.0,0
100725,9,3,4.0,0
100726,305,6,10.0,1
100727,173,3,3.0,0
100728,48,8,9.0,0
100729,57,7,14.0,0
100730,271,5,11.0,0
100731,11,7,13.0,0
100732,460,2,5.0,1
100733,48,5,16.0,0
100734,224,5,15.0,0
100735,292,4,8.0,1
100737,81,5,8.0,0
100738,329,5,8.0,1
100739,14,2,2.0,0
100740,78,4,9.0,0
100741,30,5,8.0,0
100742,256,6,13.0,0
100743,176,7,12.0,0
100744,145,4,6.0,0
100745,365,4,5.0,1
100746,245,4,7.0,0
100747,76,4,9.0,0
100748,294,8,15.0,1
100749,9,7,14.0,0
100750,156,5,11.0,0
100751,285,4,12.0,0
100752,563,3,4.0,1
100753,37,6,10.0,0
100754,274,10,14.0,0
100755,102,2,2.0,0
100756,112,9,18.0,0
100757,338,3,5.0,1
100758,153,6,14.0,0
100759,49,8,13.0,0
100760,115,4,6.0,0
100761,221,10,18.0,0
100762,228,5,9.0,0
100763,726,2,2.0,1
100764,73,3,7.0,0
100765,75,8,16.0,0
100766,310,3,3.0,1
100767,347,3,8.0,1
100768,20,6,10.0,0
100769,406,3,8.0,1
100770,261,7,12.0,0
100771,120,9,14.0,0
100772,32,8,13.0,0
100773,73,4,4.0,0
100774,215,5,10.0,0
100775,57,5,8.0,0
100776,224,5,10.0,0
100777,599,3,6.0,1
100778,347,6,11.0,1
100779,709,1,2.0,1
100780,318,5,11.0,1
100781,686,4,7.0,1
100782,262,8,15.0,0
100783,53,7,11.0,0
100784,255,3,5.0,0
100785,57,2,3.0,0
100786,154,3,4.0,0
100787,227,4,6.0,0
100788,453,4,7.0,1
100789,244,7,12.0,0
100790,23,4,5.0,0
100791,117,6,9.0,0
100792,125,4,9.0,0
100793,69,8,11.0,0
100794,63,4,6.0,0
100795,189,6,12.0,0
100796,15,7,12.0,0
100797,27,11,20.0,0
100798,257,2,3.0,0
100799,138,3,8.0,0
100800,280,2,5.0,0
100801,144,5,8.0,0
100802,213,3,5.0,0
100803,173,5,8.0,0
100804,423,6,9.0,1
100805,2,8,12.0,0
100806,33,6,11.0,0
100807,193,4,5.0,0
100808,448,3,5.0,1
100809,66,5,6.0,0
100810,12,5,16.0,0
100811,133,4,8.0,0
100812,16,9,18.0,0
100813,126,8,16.0,0
100814,55,6,9.0,0
100815,39,4,5.0,0
100816,170,6,16.0,0
100817,159,2,5.0,0
100818,106,5,6.0,0
100819,130,7,10.0,0
100820,33,4,9.0,0
100821,245,5,8.0,0
100822,227,2,4.0,0
100823,411,3,4.0,1
100824,550,4,4.0,1
100825,34,3,6.0,0
100826,85,8,13.0,0
100827,333,7,17.0,1
100828,316,3,3.0,1
100829,696,1,3.0,1
100830,218,6,14.0,0
100831,448,1,1.0,1
100832,317,7,14.0,1
100833,281,3,10.0,0
100834,68,11,19.0,0
100835,11,4,10.0,0
100836,46,9,16.0,0
100837,576,3,3.0,1
100838,95,5,10.0,0
100839,11,5,13.0,0
100840,123,4,7.0,0
100841,283,4,7.0,0
100842,174,4,4.0,0
100843,148,4,8.0,0
100844,268,2,4.0,0
100845,2,3,7.0,0
100846,24,8,15.0,0
100847,4,9,17.0,0
100848,446,3,5.0,1
100849,116,7,17.0,0
100850,552,4,11.0,1
100851,54,6,15.0,0
100852,105,5,5.0,0
100853,90,3,5.0,0
100854,478,2,4.0,1
100855,20,7,16.0,0
100856,281,3,9.0,0
100857,370,4,5.0,1
100858,129,5,10.0,0
100859,36,7,13.0,0
100860,89,6,12.0,0
100861,152,3,4.0,0
100862,170,1,2.0,0
100863,13,6,12.0,0
100864,53,4,9.0,0
100865,95,8,19.0,0
100866,198,5,12.0,0
100867,112,8,14.0,0
100868,569,4,12.0,1
100869,146,7,10.0,0
100870,287,5,9.0,1
100871,258,6,12.0,0
100872,95,3,4.0,0
100873,254,7,10.0,0
100874,118,6,12.0,0
100875,479,6,9.0,1
100876,36,8,14.0,0
100877,297,3,6.0,1
100878,188,7,13.0,0
100879,719,1,2.0,1
100880,380,3,14.0,1
100881,72,5,9.0,0
100882,267,4,5.0,0
100883,28,6,13.0,0
100884,297,3,5.0,1
100885,247,5,9.0,0
100886,238,5,9.0,0
100887,306,5,7.0,1
100889,396,5,13.0,1
100890,58,7,12.0,0
100891,52,10,16.0,0
100892,4,5,9.0,0
100893,165,4,5.0,0
100894,155,5,6.0,0
100895,59,6,9.0,0
100896,106,5,10.0,0
100897,179,4,6.0,0
100898,272,3,6.0,0
100899,9,6,13.0,0
100900,198,6,9.0,0
100901,27,7,14.0,0
100902,89,3,5.0,0
100903,47,5,9.0,0
100904,318,6,8.0,1
100905,189,8,17.0,0
100906,17,9,21.0,0
100907,55,8,14.0,0
100908,205,5,10.0,0
100909,617,2,3.0,1
100910,148,3,5.0,0
100911,388,7,21.0,1
100912,317,2,2.0,1
100913,4,5,8.0,0
100914,206,6,19.0,0
100915,77,8,19.0,0
100916,174,6,12.0,0
100917,203,9,19.0,0
100918,487,3,7.0,1
100919,157,5,15.0,0
100920,101,2,3.0,0
100921,304,4,9.0,1
100922,162,6,12.0,0
100923,199,7,15.0,0
100924,205,2,2.0,0
100925,36,9,15.0,0
100926,35,4,9.0,0
100927,402,3,5.0,1
100928,128,9,19.0,0
100929,51,6,9.0,0
100930,299,5,13.0,1
100931,94,7,12.0,0
100932,123,7,11.0,0
100933,136,6,12.0,0
100934,213,7,8.0,0
100935,224,3,6.0,0
100936,395,5,5.0,1
100937,56,5,8.0,0
100938,124,4,11.0,0
100939,168,1,1.0,0
100940,306,4,10.0,1
100941,307,6,13.0,1
100942,90,4,9.0,0
100944,154,6,9.0,0
100945,747,2,2.0,1
100946,121,7,18.0,0
100947,52,5,14.0,0
100948,417,1,1.0,1
100949,234,4,8.0,0
100950,43,4,9.0,0
100951,182,7,13.0,0
100952,380,3,5.0,1
100953,183,4,5.0,0
100954,145,5,9.0,0
100955,209,6,11.0,0
100956,32,2,4.0,0
100957,79,5,10.0,0
100958,41,5,11.0,0
100959,231,5,7.0,0
100960,288,5,7.0,1
100961,331,2,5.0,1
100962,64,4,10.0,0
100963,398,4,7.0,1
100964,49,7,10.0,0
100965,250,4,8.0,0
100966,658,3,8.0,1
100967,450,7,12.0,1
100968,234,4,7.0,0
100969,340,4,6.0,1
100970,190,4,7.0,0
100971,541,2,2.0,1
100972,2,5,8.0,0
100973,307,4,9.0,1
100974,230,4,5.0,0
100975,4,6,12.0,0
100976,103,3,5.0,0
100977,62,7,9.0,0
100978,303,7,11.0,1
100979,182,2,5.0,0
100980,125,6,9.0,0
100981,56,5,8.0,0
100982,91,7,11.0,0
100983,90,6,15.0,0
100984,159,7,10.0,0
100985,177,7,13.0,0
100986,204,10,19.0,0
100987,459,5,14.0,1
100988,154,9,17.0,0
100989,227,4,7.0,0
100990,110,6,8.0,0
100991,67,6,7.0,0
100992,185,2,5.0,0
100993,39,5,6.0,0
100994,61,7,19.0,0
100995,116,7,16.0,0
100996,143,8,17.0,0
100997,353,5,10.0,1
100998,192,7,8.0,0
100999,108,5,10.0,0
101000,759,1,1.0,1
101001,102,9,16.0,0
101002,71,1,1.0,0
101003,4,7,13.0,0
101004,199,6,9.0,0
101005,326,5,6.0,1
101006,285,3,6.0,0
101007,246,3,6.0,0
101008,417,3,3.0,1
101009,91,8,12.0,0
101010,48,11,20.0,0
101011,56,7,10.0,0
101012,232,5,10.0,0
101013,6,5,9.0,0
101014,141,5,13.0,0
101015,4,7,14.0,0
101016,170,8,13.0,0
101017,55,8,15.0,0
101018,255,5,12.0,0
101019,72,10,20.0,0
101020,67,2,2.0,0
101021,160,5,9.0,0
101022,257,4,8.0,0
101023,187,4,11.0,0
101024,87,10,19.0,0
101025,19,4,7.0,0
101026,115,4,5.0,0
101027,47,7,19.0,0
101028,370,2,5.0,1
101029,220,4,6.0,0
101030,9,13,27.0,0
101031,180,4,9.0,0
101032,214,5,6.0,0
101033,172,2,2.0,0
101034,187,7,14.0,0
101035,176,5,15.0,0
101036,79,6,11.0,0
101037,62,3,9.0,0
101038,241,4,11.0,0
101039,196,7,12.0,0
101040,195,5,9.0,0
101041,565,3,6.0,1
101042,100,4,6.0,0
101043,403,3,4.0,1
101044,215,3,7.0,0
101045,591,4,11.0,1
101046,541,5,10.0,1
101047,121,5,14.0,0
101048,107,6,9.0,0
101049,226,4,8.0,0
101050,195,9,26.0,0
101051,235,6,14.0,0
101052,115,4,7.0,0
101053,72,5,13.0,0
101054,1,8,12.0,0
101055,253,5,9.0,0
101056,331,6,12.0,1
101057,606,2,4.0,1
101058,96,5,10.0,0
101059,240,4,8.0,0
101060,213,3,6.0,0
101061,89,8,12.0,0
101062,134,6,15.0,0
101063,264,6,9.0,0
101064,1,6,14.0,0
101065,8,3,11.0,0
101066,507,2,2.0,1
101067,385,3,3.0,1
101068,573,3,4.0,1
101069,135,4,4.0,0
101070,110,6,13.0,0
101071,275,4,6.0,0
101072,595,1,3.0,1
101073,78,6,9.0,0
101074,160,5,10.0,0
101075,143,5,11.0,0
101076,541,2,3.0,1
101077,61,6,15.0,0
101078,163,1,2.0,0
101079,39,6,12.0,0
101080,223,6,14.0,0
101081,61,7,13.0,0
101082,114,10,24.0,0
